total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
3806456,613356.2254,1440.521127,862272.1878,1884792,16299054.05,5309407.061,10989646.99,8,1717092.958,31162.4507,341.915493,3762,20,23306,29978.18349,lg
3806456,618947.1549,1445.920188,862296.0376,1884792,16298759.25,5886713.089,10412046.16,8,1709430.986,33818.32864,344.6384977,3762,20,23264,30162.47458,lg
3806456,617321.277,1444.413146,862348.0188,1884792,16264548.51,5554713.915,10709834.59,8,1713667.606,36475.30516,340.4037559,3762,20,23336,29884.05662,lg
3806456,617702.6029,1444.966507,862466.5072,1884792,15496526.62,5364566.967,10131959.66,8,1713485.167,39123.62201,302.3205742,3756,20,23327,26488.18352,lg
3736464,224567.2308,1139.557692,942963.3077,1849792,17064670.46,6102785.077,10961885.38,8,2803200,14010.59615,-562.9807692,3832,20,5370,11584.92819,lg710
3736464,223743.2308,1138.846154,942967.8462,1849792,17244894.92,5849861.231,11395033.69,8,2803200,14675.71154,-668.25,3832,20,5376,13766.50598,lg710
3736464,222930.3077,1137.884615,942972,1849792,17172014.92,5278322.769,11893692.15,8,2803200,15338.78846,-780.8461538,3832,20,5377,16089.07264,lg710
3736464,221040.3077,1136.269231,942979.6154,1849792,17222345.54,4612160.769,12610184.77,8,2803200,16003.55769,-772.1923077,3832,20,5341,15804.23757,lg710
3736464,250299.6226,1164.754717,942988,1849792,17055014.04,5863099.472,11191914.57,8,2803200,16669.83019,-742.754717,3832,20,5420,15426.59953,lg710
3736464,250035.6154,1164.326923,942996,1849792,17043900.15,5400672.923,11643227.23,8,2795446.154,17331.88462,-717.1538462,3832,20,5404,14850.91364,lg710
3736464,248528.3077,1162.961538,943007.4615,1849792,17223330.31,4648497.692,12574832.62,8,2803200,18001.32692,-687.8461538,3832,20,5404,14244.0062,lg710
3736464,247079.8462,1161.576923,943012.0769,1849792,17152000.15,4386102.923,12765897.23,8,2803200,18668.86538,-662.1923077,3832,20,5402,13707.68803,lg710
3736464,245602,1160.153846,943034,1849792,16980348,4756769.692,12223578.31,8,2803200,19333.36538,-777.3461538,3822,20,5362,15930.59315,lg710
3736464,254994.8679,1169.358491,943176.7547,1849792,16840271.7,4772811.472,12067460.23,8,2803200,20000.60377,-746.6603774,3822,20,5454,15564.27594,lg710
3736464,257366.3846,1172,943207.5385,1849792,17096196,5134860.615,11961335.38,8,2774030.769,20666.78846,-734.4230769,3822,20,5411,15188.48762,lg710
3736464,257461.6604,1172,943222.6415,1849792,17235985.81,5472934.642,11763051.17,8,2783637.736,21337.73585,-750.9056604,3822,20,5416,15543.71113,lg710
3736464,255026.6415,1169.641509,943309.8868,1849792,16866432.45,4730553.66,12135878.79,8,2803200,22003.56604,-678.6981132,3815,20,5421,14036.23373,lg710
3736464,253573.1321,1168.207547,943340,1849792,17060219.92,5663425.358,11396794.57,8,2803200,22674.37736,-748.3018868,3815,20,5429,15498.55555,lg710
3736464,251222.4615,1166.096154,943343.3846,1849792,17298092.46,4393122,12904970.46,8,2789538.462,23336.88462,-766.2307692,3815,20,5381,15729.57984,lg710
3736464,251858.6154,1166.711538,943334.8462,1849792,17043339.23,5002858.308,12040480.92,8,2803200,24001.84615,-582.9230769,3815,20,5361,11922.0681,lg710
3736464,250950.7925,1165.679245,943339.9245,1849792,17191393.06,3845114.566,13346278.49,8,2798490.566,24668.30189,-731.0377358,3815,20,5428,15138.19785,lg710
3736464,252935.8491,1167.679245,943340,1849792,16970913.66,5018262.943,11952650.72,8,2803200,25335.43396,-686.509434,3818,20,5423,14214.18744,lg710
3736464,251704.8462,1166.442308,943344,1849792,17190644.77,4464303.077,12726341.69,8,2791015.385,25997.21154,-668.2692308,3818,20,5390,13752.32587,lg710
3736464,250741.4615,1165.557692,943352,1849792,17183818.15,4689249.692,12494568.46,8,2803200,26662.40385,-626.4615385,3818,20,5371,12846.51976,lg710
3736464,248723.7692,1163.865385,943393.4615,1849792,17038337.69,4951355.231,12086982.46,8,2783261.538,27326.40385,-775.2115385,3818,20,5361,15867.26078,lg710
3736464,246907.3846,1161.846154,943442.5385,1849792,17256140.15,5196444.615,12059695.54,8,2803200,27990.57692,-713.9230769,3808,20,5398,14675.10578,lg710
3736464,244430.6923,1159.423077,943491.5385,1849792,17195406.46,5154567.538,12040838.92,8,2803200,28661.07692,-705.7692308,3803,20,5407,14512.60636,lg710
3736464,242811.3077,1158.057692,943468.3077,1849792,17183282.46,5532979.538,11650302.92,8,2803200,29332.55769,-513.0576923,3803,20,5372,10481.62295,lg710
3736464,239932.4615,1155.173077,943468,1849792,16827923.69,5488550.923,11339372.77,8,2783261.538,29995.17308,-763.5961538,3803,20,5353,15544.87739,lg710
3736464,237548.3077,1152.711538,943471.9231,1849792,17159020.31,4514356.615,12644663.69,8,2803200,30658.88462,-766.0384615,3805,20,5367,15643.60465,lg710
3736464,227593.2308,1144.134615,944567.3846,1849792,17267577.85,4638621.077,12628956.77,8,2803200,31325.75,-737.0576923,3805,20,5373,15068.60278,lg710
3736464,226121.5385,1142.596154,944575.3077,1849792,17074091.38,4395787.846,12678303.54,8,2803200,31986.78846,-708.3269231,3805,20,5377,14492.00406,lg710
3736464,230204.8462,1146.576923,944579.1538,1849792,16944174.62,6640934.308,10303240.31,8,2803200,32649.05769,-685.9230769,3805,20,5347,13955.33478,lg710
3736464,228444.6154,1144.826923,944588,1849792,16998791.69,5216905.231,11781886.46,8,2803200,33307.96154,-667.7692308,3804,20,5382,13671.32494,lg710
3736464,229044.8462,1145.615385,944592,1849792,17234039.85,6121801.846,11112238,8,2803200,33971.59615,-780.2692308,3804,20,5399,16025.01029,lg710
3736464,226565,1143.057692,944600,1849792,16899742.77,5166449.077,11733293.69,8,2783261.538,34637.19231,-634.9615385,3804,20,5337,12890.95614,lg710
3736464,223850.1538,1140.365385,944619.9231,1849792,17343252.31,5768164.154,11575088.15,8,2803200,35296.67308,-729.2692308,3804,20,5399,14977.58269,lg710
3736464,222321.3077,1138.923077,944623.4615,1849792,17143039.69,4863886.154,12279153.54,8,2803200,35961.86538,-705.4038462,3805,20,5348,14354.36162,lg710
3736464,220659.1538,1137.423077,944627.4615,1849792,17106314.31,4252095.692,12854218.62,8,2803200,36624.59615,-679.25,3805,20,5355,13840.24517,lg710
